"userid","screeName","lang","tweetID","tweetCreated","tweetText","favorites","retweet"
"2255546526","Demolarsarah","en","813982315416145920","2016-12-28 05:38:01","@IAmRezaF ? Bana's account?","0","0"
"2255546526","Demolarsarah","en","813979328207724544","2016-12-28 05:26:09","@mitch_rapp ...much better way of describing things, thank you.","0","0"
"2255546526","Demolarsarah","en","813950828243320832","2016-12-28 03:32:54","@mitch_rapp No one asks to have bipolar, it is a really shitty disease, so is cancer, should cancer be a way we describe a person?","0","0"
"2255546526","Demolarsarah","en","813949933698969600","2016-12-28 03:29:21","@mitch_rapp I have bipolar disorder, does that make me a crappy person also? The woman just died, show some compassion!","0","0"
"2255546526","Demolarsarah","en","813630543560478720","2016-12-27 06:20:12","RT @Franklin_Graham: “In Him was life, and the life was the light of men. And the light shines in the darkness, &amp; the darkness did not comp…","0","710"
"2255546526","Demolarsarah","en","813097933734150144","2016-12-25 19:03:48","RT @moraagonzalezz: Im thankful for everything but pray to God that those who don't have what I have find warmth in their hearts #mexico #a…","0","1"
"2255546526","Demolarsarah","en","812529088158003200","2016-12-24 05:23:25","RT @AhmadAlkhtiib: From the #Syrian people to the greatest human in the World @Cristiano Thank you
We wish if there's many people #Standwit…","0","99"
"2255546526","Demolarsarah","en","812156841262075905","2016-12-23 04:44:14","My friend who is a refugee from Afghanistan just got her driver's liscense today!!! So happy and proud of her! ❤️","0","0"
"2255546526","Demolarsarah","und","811605368182738944","2016-12-21 16:12:53","@NAMICommunicate @nytimes Yes.","1","0"
"2255546526","Demolarsarah","en","811604666458861568","2016-12-21 16:10:06","For a smile brothers and sisters. https://t.co/Gdx3xrsYtD","0","0"
"2255546526","Demolarsarah","en","811417490546823169","2016-12-21 03:46:19","RT @Rami_Zien: There are still poeple stuck in #aleppo evacuation of last convoys are having trouble and stopped since 15 hours waiting 
#S…","0","237"
"2255546526","Demolarsarah","en","811078717162147842","2016-12-20 05:20:09","RT @abooday_rev: Take a picture, make a sign to express your support (because they do need support!)and upload it with the hashtag #I_am_wi…","0","2"
"2255546526","Demolarsarah","en","811078058891317248","2016-12-20 05:17:32","RT @BakriZen: Just today, I can say it
I'm a #refugee #homeless missing #Aleppo my life and memories, one bag and a key is all what I still…","0","5"
"2255546526","Demolarsarah","en","811077217790742528","2016-12-20 05:14:12","@Scorpion3knot3 @Linashamy Oh, I am sorry, I did not see that. 😬","0","0"
"2255546526","Demolarsarah","en","811075841769676801","2016-12-20 05:08:44","RT @Demolarsarah: @Mr_Alhamdo ...who he loves very much. He knows your hearts. He will wipe away every tear.","0","1"
"2255546526","Demolarsarah","en","811075790502699008","2016-12-20 05:08:32","RT @Demolarsarah: @Mr_Alhamdo Although I am not a Muslim, and I am Christian, I believe that God has their/your souls in his hand as you ar…","0","1"
"2255546526","Demolarsarah","en","811067339747651584","2016-12-20 04:34:57","@PrimoAhmad @Rami_Zien Praise God Emmanuel, the God who is with us. He is working in your midst , he is moving for you brother.","0","0"
"2255546526","Demolarsarah","en","811067098499645440","2016-12-20 04:33:59","RT @PrimoAhmad: My friend @Rami_Zien is free ✌🏻 just now https://t.co/0yPIEmzWvV","0","213"
"2255546526","Demolarsarah","en","811066493463101440","2016-12-20 04:31:35","@WorldVisionUSA We are praying! God is moving! He is with you! Prayers ARE being answered!!! God is there with you! Building you up. 💛","2","0"
"2255546526","Demolarsarah","en","811066141120442368","2016-12-20 04:30:11","RT @WorldVisionUSA: “We must never lose our capacity to feel outrage … and then we must turn that outrage into action."" – @RichStearns #Ale…","0","67"
"2255546526","Demolarsarah","en","811066002125385728","2016-12-20 04:29:38","RT @ZouhirAlShimale: Have just arrived with my old brother,was a horrible trip,now thousands r waiting to leave in difficult circumstances…","0","317"
"2255546526","Demolarsarah","en","811065551933976576","2016-12-20 04:27:51","@ZouhirAlShimale Amen brother! Thank you. We are also praying. God is there with you, he  is working. He is building up a new generation. 💛","0","0"
"2255546526","Demolarsarah","en","811065102048772096","2016-12-20 04:26:03","RT @ZouhirAlShimale: Other group of buses have just arrived to Western #Aleppo thousands of Plp now homeless.. Do sth to help them!
You can…","0","146"
"2255546526","Demolarsarah","en","811059915938676738","2016-12-20 04:05:27","@UNICEFmena @Herts4Refugees @mkampjensen @gcappelaere @JulietteTouma Praise God! Our Emmanuel, God in our midst, the God who sees us.","0","0"
"2255546526","Demolarsarah","en","810738423560433664","2016-12-19 06:47:57","RT @faithclubdotnet: Whether or not you want,you're an ambassador for the most high God.If you want people to believe he loves them, you mu…","0","1"
"2255546526","Demolarsarah","en","810738174574006273","2016-12-19 06:46:58","RT @faithclubdotnet: The life of faith is radically different than a life of living for yourself. There's no worry of wasting one's life wh…","0","2"
"2255546526","Demolarsarah","en","810735652518014980","2016-12-19 06:36:56","RT @WorldVisionUSA: God of miracles, lift the children &amp; families of #Aleppo to safety. Let their suffering end &amp; healing begin. Pray: http…","0","59"
"2255546526","Demolarsarah","en","810726860396974080","2016-12-19 06:02:00","RT @IranArabSpring: “We know how it feels to be abandoned and forgotten.” The people of #Sarajevo #StandWithAleppo
https://t.co/FxUOIcMca3…","0","95"
"2255546526","Demolarsarah","en","810725314275835904","2016-12-19 05:55:52","RT @MussaTa: One Day They Will Return To #Aleppo
&amp; One Day we will go to visit them There 
#StandWithAleppo 
#Syria 
#حلب #سوریا https://t.…","0","231"
"2255546526","Demolarsarah","en","810723697262632960","2016-12-19 05:49:26","RT @1PhoebeJTonkin: U R the future President of the USA, why have U not talked about #aleppo @realdonaldtrump these kids are the same age a…","0","1188"
"2255546526","Demolarsarah","en","810722333954478080","2016-12-19 05:44:01","RT @4NIKKOLAS: This Is Aleppo.
For everyone that shares my #Aleppo art, Im donating $5 to Syrian children, up to $500
#ThisIsAleppo https:/…","0","21349"
"2255546526","Demolarsarah","en","810722032040017921","2016-12-19 05:42:49","RT @ShiWantsTheC: A group of orphans in Aleppo are sending a message to the world: https://t.co/08oIXyrb8s","0","254"
"2255546526","Demolarsarah","en","810721408644808708","2016-12-19 05:40:20","@Rami_Zien Amen brother! God is in your midst, continue calling out to him he loves you and wants to lift you up and build a new generation.","0","0"
"2255546526","Demolarsarah","en","810721084144132096","2016-12-19 05:39:03","RT @Rami_Zien: #standwithaleppo
After 11 hours inside the bus
And 40 hours waiting for  bus
I made it out of #Aleppo
Thanks for your though…","0","517"
"2255546526","Demolarsarah","en","810720748457205760","2016-12-19 05:37:43","RT @chadcveach: Thank you for your generosity towards ALEPPO @zoechurchLA... @preemptivelove https://t.co/PLcTYlkhuE","0","11"
"2255546526","Demolarsarah","en","810716565679194114","2016-12-19 05:21:06","@jsmnhldn God is with you sister, in your midst. Call on his name and he will answer. Let him be your hope and joy 💛 he is there.","0","0"
"2255546526","Demolarsarah","en","810715974034866177","2016-12-19 05:18:45","@Demolarsarah ...for kids. So, we are praying about it. But, even if she doesn't buy our house, I felt so blessed to meet a former Syrian 💛","0","0"
"2255546526","Demolarsarah","en","810715752625938432","2016-12-19 05:17:52","@Demolarsarah ...because we have spent the last 6 plus years making our house allergy proof and we have a son and have made our home safe...","0","0"
"2255546526","Demolarsarah","en","810715450535333888","2016-12-19 05:16:40","@Demolarsarah ...young. Her name is Iris like the flower. She has mold allergies like me, and could be a really good fit for our house...","0","0"
"2255546526","Demolarsarah","en","810715166203518976","2016-12-19 05:15:32","@Demolarsarah I wish you guys could have seen her! She grew up mostly in Austria then America at some point. Her family fled when she was..","0","0"
"2255546526","Demolarsarah","en","810714913022742528","2016-12-19 05:14:32","@Demolarsarah ...happened! A girl 33 who has a 2 year old son came to look at her house. She was beautiful and told me she is from..Syria!!!","0","0"
"2255546526","Demolarsarah","en","810714581890789377","2016-12-19 05:13:13","Haven't been on here in a few days because we have been in the midst of trying to sell our home and bid on another, but he neatest thing...","0","0"
"2255546526","Demolarsarah","en","810713707122561024","2016-12-19 05:09:44","@HangingOffense And he is fighting for you and for HIS world! Amen ❤️","0","0"
"2255546526","Demolarsarah","en","810713563253702657","2016-12-19 05:09:10","@HangingOffense That is so beautiful. Thank you for the invitation to pray with you! We are praying, I believe God is in your midst!!! ....","1","0"
"2255546526","Demolarsarah","en","810303867556478976","2016-12-18 02:01:11","RT @RaedFares4: Appeal to US Congress: ""Save the Syrians who are Still Alive""
US Congress: Obama Refuses to Act on Syria. Will You?
https:/…","0","10"
"2255546526","Demolarsarah","en","807639972060635136","2016-12-10 17:35:49","RT @cmqkate: @montheretaky Even when you feel lost and alone, always remember that there are many people around the world who are praying f…","0","1"
"2255546526","Demolarsarah","und","807631274965757952","2016-12-10 17:01:15","RT @MostafaMe4: #syria #Aleppo #StandWithAleppo https://t.co/hVcMBhhJEV","0","2"
"2255546526","Demolarsarah","en","807631201393487872","2016-12-10 17:00:58","RT @MiddleEastMnt: Canadian Prime Minister #JustinTrudeau was moved to tears as a #Syria-n refugee described being welcomed by him at Pears…","0","101"
"2255546526","Demolarsarah","en","807116014290812928","2016-12-09 06:53:47","@nadoshma I am from California :-)","1","0"
"2255546526","Demolarsarah","en","807105126942945280","2016-12-09 06:10:32","RT @GerV29: Red Cross doctor: 
This is not about who is right. This is about people: flesh &amp; blood, human beings. #Aleppo #Syria https://t.…","0","11"
"2255546526","Demolarsarah","en","807096776289198081","2016-12-09 05:37:21","@Scorpion3knot3 @Linashamy That is not true. We are praying for the people in Aleppo who are suffering and praying for an end to the war.","2","0"
"2255546526","Demolarsarah","en","807090125561704448","2016-12-09 05:10:55","@ZouhirAlShimale you do not cause us a headache brother. We think about you everyday, many. times a day. It is a terrible situation.","0","0"
"2255546526","Demolarsarah","en","806750691356090368","2016-12-08 06:42:08","RT @bendepear: PLEASE READ &amp; SHARE: We are now very worried about @waadalkateab &amp; the Doctors &amp; civilians she is with in #Aleppo https://t.…","0","830"
